,district,timeperiod,total-tender-awarded-value,sum-population,nviall-comp,sviall-comp,pviall-comp,hviall-comp,fviall-comp,cviall-comp,total-hhd,sum-aged-population,schools-count,road-length,rail-length,block-nosanitation-hhds-pct,drainage-density,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,avg-electricity,block-piped-hhds-pct,mean-sex-ratio,elevation-mean,sum-young-population,slope-mean,avg-tele,distance-from-river-mean,net-sown-area-in-hac,road-count,rail-count,max-rain,mean-rain,sum-rain,efficiency,mean-daily-runoff,sum-runoff,peak-runoff,topsis-score,risk-score,exposure,vulnerability,government-response
123,KANGRA,2021_04,8395507.72,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.447609708,0.174768809,1088.484576,0.928979976,0.644754902,6103.7504,108.5307,0.566166983,3.727272727,1.772727273,2.409090909,4.772727273
124,KANGRA,2021_05,0,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.309396968,0.122124544,689.2944127,0.928979976,0.143478829,1000.9696,12.3992,0.565858548,3.727272727,1.772727273,2.409090909,4.772727273
125,KANGRA,2021_06,44179953,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.323343876,0.164120832,891.5423693,0.928979976,0.288511089,1705.4592,14.3423,0.568589118,3.681818182,1.772727273,2.409090909,4.818181818
126,KANGRA,2021_07,47234792,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,1.522759452,1.014949819,5334.644012,0.928979976,8.197405046,50572.7127,238.5887,0.612893876,3.590909091,1.772727273,2.409090909,4.818181818
127,KANGRA,2021_08,6513304,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.755796692,0.458934848,2298.763839,0.928979976,2.272832493,13696.6005,55.1635,0.600672385,3.454545455,1.772727273,2.409090909,4.818181818
128,KANGRA,2021_09,16639272,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.533170569,0.360725312,1972.305466,0.928979976,2.075078529,12533.3082,86.7226,0.591155813,3.409090909,1.772727273,2.409090909,4.727272727
129,KANGRA,2021_10,2965303,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.161440688,0.099374803,564.2966608,0.928979976,0.19017143,1564.5514,18.138,0.59149767,3.318181818,1.772727273,2.409090909,4.727272727
130,KANGRA,2021_11,514349372,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.009894451,0.00128729,7.216404532,0.928979976,0.006812973,84.0411,5.0493,0.589349114,3.545454545,1.772727273,2.409090909,4.636363636
131,KANGRA,2021_12,20551951,1712866.292,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,137566.54,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.011631904,980.96837,100513.685,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.09430639,0.0173148,134.6470288,0.928979976,0.012202411,70.85,1.6465,0.560481671,3.636363636,1.772727273,2.409090909,4.636363636
132,KANGRA,2022_01,2387676,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.457823259,0.302792062,1650.427213,0.92898569,1.04102991,6835.9057,45.9083,0.59632222,3.454545455,1.772727273,2.409090909,4.636363636
133,KANGRA,2022_02,1378774.3,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.207819014,0.099163108,597.4527963,0.92898569,0.355196005,3201.1492,45.8635,0.569988554,3.272727273,1.772727273,2.409090909,4.636363636
134,KANGRA,2022_03,1521313.5,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.039871826,0.013417107,84.2342332,0.92898569,0.019074041,141.6583,6.1636,0.567749357,3.681818182,1.772727273,2.409090909,4.636363636
135,KANGRA,2022_04,29343884,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.057523189,0.011297636,84.32695089,0.92898569,0.008247001,80.8426,0.7598,0.58920712,3.590909091,1.772727273,2.409090909,4.818181818
136,KANGRA,2022_05,668880,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.171109559,0.089302159,490.7668838,0.92898569,0.102856311,694.0635,4.2531,0.574332447,3.5,1.772727273,2.409090909,4.954545455
137,KANGRA,2022_06,13612466,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,0.457049986,0.192647843,1047.065705,0.92898569,0.233258413,1494.851,53.3759,0.595435816,3.409090909,1.772727273,2.409090909,4.909090909
138,KANGRA,2022_07,0,1731541.131,3.318505677,4.587885805,2.743187405,1.737456028,3.450612374,3.173146314,465576,142049.678,3092,9350051.53,142693.3842,5.53042291,0.000571955,0,0,0,12.70535608,52.92453743,1.012850488,980.96837,100564.487,13.36480657,2.681818182,1074.416186,101053.7266,18158,105,1.667846672,0.765031353,4187.166605,0.92898569,3.889626213,28924.2877,134.3195,0.594618453,3.409090909,1.772727273,2.409090909,4.909090909
