sdtcode11,district,rc-area,timeperiod,total-tender-awarded-value,others-tenders-awarded-value,max-rain,mean-rain,count,sum-rain,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,schools-count,rail-length,rail-count,road-length-total,road-count-total,objectid-y,district-name,sub-district-name,sub-district-code,net-sown-area-in-hac,avg-electricity,avg-tele,sd-piped-hhds-pct,sd-nosanitation-hhds-pct,total-hhd,object-id,exposure,flood-hazard,government-response,vulnerability,topsis-score,risk-score
00098,Kangra,342653196.88822633,2021_04,0,0,0.452111588,0.4358820736881002,0,101.12464109563928,0,0,0,0,134,0,0,454398.714,954,2130,KANGRA,Shahpur,98,2719.21,4.97,3,41.47,16.74,18015,02-24-00098,2,3,5,3,0.709431045,5
00171,Sirmaur,178816231.58582568,2021_04,0,0,0.3877211284741759,0.284196085,0,35.80870672610104,0,0,0,0,83,0,0,225620.553,332,48,SIRMAUR,Dadahu,171,8844.15,3.73,2,47.55,4.43,9548,02-32-00171,1,2,5,5,0.5444198493322134,4
00168,Sirmaur,249399184.1958302,2021_04,0,0,0.3013071686272819,0.266202468,0,46.851634427351264,0,0,0,0,104,0,0,269712.75800000003,291,51,SIRMAUR,Nohra,168,10325.82,3.62,2,38.47,12.73,6535,02-32-00168,1,2,5,5,0.5444198493322134,4
00093,Kangra,757339573.9097964,2021_04,0,0,0.3363608832411468,0.2644982580057327,0,136.2166028729524,0,0,0,0,330,23582.495,15,1155844.346,2517,2127,KANGRA,Nurpur,93,9796.32,4.47,2,39.06,12.57,39960,02-24-00093,4,2,5,3,0.5274380744017778,4
00173,Sirmaur,991345360.4962896,2021_04,0,0,0.4170837302826344,0.2948889718694616,0,201.4091677868424,0,0,0,0,326,0,0,1088993.252,2195,1637,SIRMAUR,Paonta Sahib,173,9118.46,5.01,2,46.82,4.66,35307,02-32-00173,4,2,5,3,0.5274380744017778,4
00172,Sirmaur,393604291.4986236,2021_04,0,0,0.3853621726299325,0.3248923623339283,0,89.99518436649815,0,0,0,0,194,0,0,599315.601,1459,50,SIRMAUR,Nahan,172,10644.75,5.45,2,52.25,12.58,17321,02-32-00172,2,2,5,4,0.5273444138149603,4
00103,Kangra,750875494.1571013,2021_04,0,0,0.3503308195556203,0.2924334556052296,0,148.2637619918514,0,0,0,0,209,18654.117,16,721462.2,1188,2113,KANGRA,Dera Gopipur,103,17982.81,5.44,3,54.43,6.5,19646,02-24-00103,2,2,5,4,0.5273444138149603,4
00095,Kangra,387916345.1414388,2021_04,0,0,0.3367696283295751,0.2584697573294928,0,69.26989496430407,0,0,0,0,134,0,0,630216.58,1295,2116,KANGRA,Fatehpur,95,6078.4,4.16,2,56.83,9.8,19987,02-24-00095,2,2,5,4,0.5273444138149603,4
00105,Kangra,154577914.9,2021_04,0,0,0.2813755915087958,0.2353227738166041,0,25.17953679837665,0,0,0,0,54,0,0,200159.241,414,2120,KANGRA,Jaswan,105,4094.41,4.39,2,76.32,6.1,6508,02-24-00105,1,2,5,4,0.5012633631050705,4
06918,Kangra,148745422.6239784,2021_04,0,0,0.328128913,0.2489358729960796,0,25.142523172604047,0,0,0,0,75,0,0,219044.692,342,2112,KANGRA,Dadasiba,6918,6126.39,4.18,3,65.95,2.24,8382,02-24-06918,1,2,5,4,0.5012633631050705,4
