sdtcode11,district,rc-area,timeperiod,total-tender-awarded-value,others-tenders-awarded-value,unnamed:-0,objectid-x,stcode11,dtcode11,stname,dtname,sdtname,subdt-lgd,dist-lgd,state-lgd,st-area-sh,st-length-,remarks,ac-no,test,st-area(shape),st-length(shape),max-rain,mean-rain,count,sum-rain,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,schools-count,rail-length,rail-count,road-length-total,road-count-total,objectid-y,district-name,sub-district-name,sub-district-code,net-sown-area-in-hac,avg-electricity,avg-tele,sd-piped-hhds-pct,sd-nosanitation-hhds-pct,total-hhd,exposure,flood-hazard,government-response,vulnerability,topsis-score,risk-score,object-id
173.0,Sirmaur,991345360.4962896,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804897114995866,0.4063265005133964,0.0,277.5209998506498,0.0,0.0,0.0,0.0,326.0,0.0,0.0,1088993.252,2195.0,1637.0,SIRMAUR,Paonta Sahib,173.0,9118.46,5.01,2.0,46.82,4.66,35307.0,4,2.0,5,3,0.6790784340438628,5,
93.0,Kangra,757339573.9097964,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442844785265997,0.3617326821165759,0.0,186.29233129003663,0.0,0.0,0.0,0.0,330.0,23582.495,15.0,1155844.346,2517.0,2127.0,KANGRA,Nurpur,93.0,9796.32,4.47,2.0,39.06,12.57,39960.0,4,2.0,5,3,0.6790784340438628,5,
172.0,Sirmaur,393604291.4986236,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541881983218342,0.4546859405335577,0.0,125.94800552779547,0.0,0.0,0.0,0.0,194.0,0.0,0.0,599315.601,1459.0,50.0,SIRMAUR,Nahan,172.0,10644.75,5.45,2.0,52.25,12.58,17321.0,2,2.0,5,4,0.6648708220022909,5,
103.0,Kangra,750875494.1571013,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467887915468961,0.387815141644806,0.0,196.6222768139167,0.0,0.0,0.0,0.0,209.0,18654.117,16.0,721462.2,1188.0,2113.0,KANGRA,Dera Gopipur,103.0,17982.81,5.44,3.0,54.43,6.5,19646.0,2,2.0,5,4,0.6648708220022909,5,
95.0,Kangra,387916345.1414388,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446523673235625,0.3347643092237204,0.0,89.71683487195708,0.0,0.0,0.0,0.0,134.0,0.0,0.0,630216.58,1295.0,2116.0,KANGRA,Fatehpur,95.0,6078.4,4.16,2.0,56.83,9.8,19987.0,2,2.0,5,4,0.6648708220022909,5,
171.0,Sirmaur,178816231.58582568,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454204169847071,0.398777993354083,0.0,50.24602716261447,0.0,0.0,0.0,0.0,83.0,0.0,0.0,225620.553,332.0,48.0,SIRMAUR,Dadahu,171.0,8844.15,3.73,2.0,47.55,4.43,9548.0,1,2.0,5,5,0.6534168992931055,5,
168.0,Sirmaur,249399184.1958302,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257781616918742,0.3786692758595359,0.0,66.64579255127833,0.0,0.0,0.0,0.0,104.0,0.0,0.0,269712.75800000003,291.0,51.0,SIRMAUR,Nohra,168.0,10325.82,3.62,2.0,38.47,12.73,6535.0,1,2.0,5,5,0.6534168992931055,5,
90.0,Chamba,1422633610.7584865,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747631239773473,0.2580030372610952,0.0,249.48893703147908,0.0,0.0,0.0,0.0,632.0,0.0,0.0,1607115.97,3996.0,3.0,CHAMBA,Chamba,90.0,15979.67,4.43,3.0,29.82,3.1,31915.0,3,2.0,5,3,0.6327278712005939,5,
6918.0,Kangra,148745422.6239784,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366704441338778,0.3244523908895727,0.0,32.76969147984684,0.0,0.0,0.0,0.0,75.0,0.0,0.0,219044.692,342.0,2112.0,KANGRA,Dadasiba,6918.0,6126.39,4.18,3.0,65.95,2.24,8382.0,1,2.0,5,4,0.6054285484606808,5,
126.0,Mandi,71120028.78407831,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4372106322633102,0.3849006643097382,0.0,20.01483454410639,0.0,0.0,0.0,0.0,6.0,0.0,0.0,58775.063,77.0,30.0,MANDI,Sandhol,126.0,842.02,4.05,3.0,54.83,2.49,7052.0,1,2.0,5,4,0.6054285484606808,5,
